time,ag_id,x,y,speed,x_speed,y_speed,theta_delta,data_label,dataset_name
0.0,3710436,16.5,1192.5,0.0,0.0,0.0,0.0,Pedestrian,deathCircle_0
0.4,3710436,25.5,1188.5,9.84886,9.0,-4.0,-0.41822,Pedestrian,deathCircle_0
0.8,3710436,34.5,1188.5,9.0,9.0,0.0,0.0,Pedestrian,deathCircle_0
1.2,3710436,43.5,1188.5,9.0,9.0,0.0,0.0,Pedestrian,deathCircle_0
1.6,3710436,52.5,1184.5,9.84886,9.0,-4.0,-0.41822,Pedestrian,deathCircle_0
2.0,3710436,61.5,1184.5,9.0,9.0,0.0,0.0,Pedestrian,deathCircle_0
2.4,3710436,70.5,1184.5,9.0,9.0,0.0,0.0,Pedestrian,deathCircle_0
2.8,3710436,82.5,1180.5,12.64911,12.0,-4.0,-0.32175,Pedestrian,deathCircle_0
3.2,3710436,91.5,1180.5,9.0,9.0,0.0,0.0,Pedestrian,deathCircle_0
3.6,3710436,100.5,1180.5,9.0,9.0,0.0,0.0,Pedestrian,deathCircle_0
4.0,3710436,104.5,1180.5,4.0,4.0,0.0,0.0,Pedestrian,deathCircle_0
4.4,3710436,111.5,1180.5,7.0,7.0,0.0,0.0,Pedestrian,deathCircle_0
4.8,3710436,116.5,1180.5,5.0,5.0,0.0,0.0,Pedestrian,deathCircle_0
5.2,3710436,120.5,1180.5,4.0,4.0,0.0,0.0,Pedestrian,deathCircle_0
5.6,3710436,125.5,1180.5,5.0,5.0,0.0,0.0,Pedestrian,deathCircle_0
6.0,3710436,129.5,1180.5,4.0,4.0,0.0,0.0,Pedestrian,deathCircle_0
6.4,3710436,136.5,1180.5,7.0,7.0,0.0,0.0,Pedestrian,deathCircle_0
6.8,3710436,141.0,1180.5,4.5,4.5,0.0,0.0,Pedestrian,deathCircle_0
7.2,3710436,150.5,1180.5,9.5,9.5,0.0,0.0,Pedestrian,deathCircle_0
7.6,3710436,156.5,1180.5,6.0,6.0,0.0,0.0,Pedestrian,deathCircle_0
0.0,3710440,562.0,1206.5,0.0,0.0,0.0,0.0,Pedestrian,deathCircle_0
0.4,3710440,569.0,1206.5,7.0,7.0,0.0,0.0,Pedestrian,deathCircle_0
0.8,3710440,575.5,1206.5,6.5,6.5,0.0,0.0,Pedestrian,deathCircle_0
1.2,3710440,582.5,1206.5,7.0,7.0,0.0,0.0,Pedestrian,deathCircle_0
1.6,3710440,589.5,1206.5,7.0,7.0,0.0,0.0,Pedestrian,deathCircle_0
2.0,3710440,596.0,1206.5,6.5,6.5,0.0,0.0,Pedestrian,deathCircle_0
2.4,3710440,600.5,1206.5,4.5,4.5,0.0,0.0,Pedestrian,deathCircle_0
2.8,3710440,605.0,1206.5,4.5,4.5,0.0,0.0,Pedestrian,deathCircle_0
3.2,3710440,609.5,1215.0,9.61769,4.5,8.5,1.0839,Pedestrian,deathCircle_0
3.6,3710440,614.0,1219.0,6.0208,4.5,4.0,0.72664,Pedestrian,deathCircle_0
